X,Y,track_fid,track_seg_id,track_seg_point_id,ele
138.943695,35.357147,0,0,329,475.2
138.943741,35.357105,0,0,330,475.2
138.943771,35.357067,0,0,331,475.3
138.943817,35.357021,0,0,332,475.4
138.943848,35.356987,0,0,333,475.4
138.943893,35.356941,0,0,334,475.4
138.943924,35.356907,0,0,335,475.5
138.943954,35.356865,0,0,336,475.5
138.944,35.356819,0,0,337,475.5
138.944046,35.356773,0,0,338,475.4
138.944076,35.356739,0,0,339,475.4
138.944107,35.356701,0,0,340,475.3
138.944153,35.356667,0,0,341,475.2
138.944183,35.356628,0,0,342,475.1
138.944229,35.356586,0,0,343,474.9
138.94426,35.356548,0,0,344,474.8
138.94429,35.356514,0,0,345,474.7
138.944336,35.356472,0,0,346,474.6
138.944382,35.356438,0,0,347,474.4
138.944427,35.356396,0,0,348,474.3
138.944458,35.356365,0,0,349,474.2
138.944504,35.356331,0,0,350,474.1
138.94455,35.356293,0,0,351,474
138.944595,35.356262,0,0,352,473.9
138.944641,35.356224,0,0,353,473.8
138.944687,35.356182,0,0,354,473.7
138.944733,35.356144,0,0,355,473.6
138.944778,35.356106,0,0,356,473.6
138.944794,35.356049,0,0,357,473.4
138.944748,35.356003,0,0,358,473.3
138.944672,35.355942,0,0,359,473.3
138.944611,35.355884,0,0,360,473.2
138.944534,35.355823,0,0,361,473.3
138.944473,35.35577,0,0,362,473.3
138.944397,35.355705,0,0,363,473.4
138.944336,35.355648,0,0,364,473.4
138.944275,35.355572,0,0,365,473.4
138.944229,35.355484,0,0,366,473.4
138.94426,35.355389,0,0,367,472.9
138.944336,35.355293,0,0,368,472.3
138.944397,35.355209,0,0,369,471.8
138.944458,35.355099,0,0,370,471.2
138.944489,35.355,0,0,371,470.8
138.944534,35.354877,0,0,372,470.4
138.944565,35.354771,0,0,373,470
138.94458,35.354664,0,0,374,469.6
138.944611,35.35453,0,0,375,469.2
138.944641,35.354397,0,0,376,468.7
138.944672,35.354259,0,0,377,468.4
138.944702,35.354122,0,0,378,468
138.944733,35.353985,0,0,379,467.6
138.944748,35.35387,0,0,380,467.2
138.944778,35.353729,0,0,381,466.7
138.944794,35.353607,0,0,382,466.2
138.944824,35.353481,0,0,383,465.6
138.944839,35.353325,0,0,384,464.8
138.944839,35.353168,0,0,385,464
